crop_id,source_image,base_image,split,original_class,original_class_id,original_x_center,original_y_center,original_width,original_height,padding_ratio,crop_path
1_0005g_aug000_crop0.jpg,1_0005g_aug000_jpg.rf.99a29b63174090497a832ad6d7a7b9bb.jpg,1_0005g_aug000,train,Tear-Delamination,2,0.52734375,0.552734375,0.185546875,0.2529296875,0.1,c:\Users\syed mohammad anas\Desktop\sir_khurram_project\sem_defect_project\datasets\classifier_crops\train\Tear-Delamination\1_0005g_aug000_crop0.jpg
1_0005g_aug000_crop1.jpg,1_0005g_aug000_jpg.rf.99a29b63174090497a832ad6d7a7b9bb.jpg,1_0005g_aug000,train,Tear-Delamination,2,0.203125,0.533203125,0.0810546875,0.1484375,0.1,c:\Users\syed mohammad anas\Desktop\sir_khurram_project\sem_defect_project\datasets\classifier_crops\train\Tear-Delamination\1_0005g_aug000_crop1.jpg
1_0005g_aug000_crop2.jpg,1_0005g_aug000_jpg.rf.99a29b63174090497a832ad6d7a7b9bb.jpg,1_0005g_aug000,train,Tear-Delamination,2,0.0888671875,0.494140625,0.087890625,0.115234375,0.1,c:\Users\syed mohammad anas\Desktop\sir_khurram_project\sem_defect_project\datasets\classifier_crops\train\Tear-Delamination\1_0005g_aug000_crop2.jpg
1_0005g_aug000_crop3.jpg,1_0005g_aug000_jpg.rf.99a29b63174090497a832ad6d7a7b9bb.jpg,1_0005g_aug000,train,Tear-Delamination,2,0.2294921875,0.787109375,0.052734375,0.1640625,0.1,c:\Users\syed mohammad anas\Desktop\sir_khurram_project\sem_defect_project\datasets\classifier_crops\train\Tear-Delamination\1_0005g_aug000_crop3.jpg
1_0005g_aug000_crop4.jpg,1_0005g_aug000_jpg.rf.99a29b63174090497a832ad6d7a7b9bb.jpg,1_0005g_aug000,train,Tear-Delamination,2,0.705078125,0.7236328125,0.0625,0.1064453125,0.1,c:\Users\syed mohammad anas\Desktop\sir_khurram_project\sem_defect_project\datasets\classifier_crops\train\Tear-Delamination\1_0005g_aug000_crop4.jpg
1_0005g_aug000_crop5.jpg,1_0005g_aug000_jpg.rf.99a29b63174090497a832ad6d7a7b9bb.jpg,1_0005g_aug000,train,Tear-Delamination,2,0.912109375,0.853515625,0.048828125,0.095703125,0.1,c:\Users\syed mohammad anas\Desktop\sir_khurram_project\sem_defect_project\datasets\classifier_crops\train\Tear-Delamination\1_0005g_aug000_crop5.jpg
1_0005g_aug000_crop6.jpg,1_0005g_aug000_jpg.rf.99a29b63174090497a832ad6d7a7b9bb.jpg,1_0005g_aug000,train,Tear-Delamination,2,0.7763671875,0.86328125,0.052734375,0.076171875,0.1,c:\Users\syed mohammad anas\Desktop\sir_khurram_project\sem_defect_project\datasets\classifier_crops\train\Tear-Delamination\1_0005g_aug000_crop6.jpg
1_0005g_aug000_crop7.jpg,1_0005g_aug000_jpg.rf.99a29b63174090497a832ad6d7a7b9bb.jpg,1_0005g_aug000,train,Tear-Delamination,2,0.669921875,0.9541015625,0.0986328125,0.0732421875,0.1,c:\Users\syed mohammad anas\Desktop\sir_khurram_project\sem_defect_project\datasets\classifier_crops\train\Tear-Delamination\1_0005g_aug000_crop7.jpg
1_0005g_aug000_crop8.jpg,1_0005g_aug000_jpg.rf.99a29b63174090497a832ad6d7a7b9bb.jpg,1_0005g_aug000,train,Tear-Delamination,2,0.5810546875,0.857421875,0.0595703125,0.083984375,0.1,c:\Users\syed mohammad anas\Desktop\sir_khurram_project\sem_defect_project\datasets\classifier_crops\train\Tear-Delamination\1_0005g_aug000_crop8.jpg
1_0005g_aug000_crop9.jpg,1_0005g_aug000_jpg.rf.99a29b63174090497a832ad6d7a7b9bb.jpg,1_0005g_aug000,train,Tear-Delamination,2,0.6904296875,0.55078125,0.041015625,0.076171875,0.1,c:\Users\syed mohammad anas\Desktop\sir_khurram_project\sem_defect_project\datasets\classifier_crops\train\Tear-Delamination\1_0005g_aug000_crop9.jpg
